Rank,Team,Opponent,Opponent Rank,Date,Game Count
1,Texas,Northern Arizona,223,2022-11-21,2
1,Texas,UT Rio Grande Valley,338,2022-11-26,2
2,Houston,Kent State,87,2022-11-26,1
3,Gonzaga,Portland State,261,2022-11-25,1
4,Kentucky,North Florida,228,2022-11-23,1
5,Virginia,Maryland-Eastern Shore,320,2022-11-25,1
6,Baylor,McNeese,351,2022-11-23,1
7,Tennessee,Butler,86,2022-11-23,1
8,Indiana,Little Rock,326,2022-11-23,2
8,Indiana,Jackson State,309,2022-11-25,2
9,Duke,Bellarmine,220,2022-11-21,2
9,Duke,Oregon State,240,2022-11-24,2
10,Kansas,NC State,69,2022-11-23,1
11,Arizona,Cincinnati,63,2022-11-21,1
12,Alabama,Michigan State,21,2022-11-24,1
13,UCLA,Bellarmine,220,2022-11-27,2
13,UCLA,Pepperdine,154,2022-11-23,2
14,Arkansas,Louisville,123,2022-11-21,1
15,Iowa,Omaha,333,2022-11-21,2
15,Iowa,Clemson,72,2022-11-25,2
16,North Carolina,Portland,136,2022-11-24,1
17,San Diego State,Ohio State,29,2022-11-21,1
18,Auburn,Bradley,122,2022-11-22,2
18,Auburn,Saint Louis,43,2022-11-27,2
19,UConn,Oregon,38,2022-11-24,1
20,Saint Mary's,Vanderbilt,78,2022-11-23,1
21,Michigan State,Alabama,12,2022-11-24,1
22,Maryland,Coppin State,294,2022-11-25,1
24,Illinois,Lindenwood,343,2022-11-25,1
25,Purdue,West Virginia,39,2022-11-24,1
27,Mississippi State,Marquette,67,2022-11-21,1
28,Memphis,Seton Hall,35,2022-11-24,1
29,Ohio State,San Diego State,17,2022-11-21,1
30,Virginia Tech,Charleston Southern,323,2022-11-25,1
31,Penn State,Lafayette,304,2022-11-25,1
32,Villanova,Iowa State,53,2022-11-24,1
33,St. John's,Temple,89,2022-11-21,2
33,St. John's,Niagara,246,2022-11-26,2
34,Xavier,Florida,36,2022-11-24,1
35,Seton Hall,Memphis,28,2022-11-24,1
36,Florida,Xavier,34,2022-11-24,1
37,Dayton,Wisconsin,41,2022-11-23,1
38,Oregon,UConn,19,2022-11-24,1
39,West Virginia,Purdue,25,2022-11-24,1
40,Oklahoma State,Prairie View A&M,280,2022-11-27,2
40,Oklahoma State,Tulsa,167,2022-11-25,2
41,Wisconsin,Dayton,37,2022-11-23,1
42,Michigan,Jackson State,309,2022-11-23,1
43,Saint Louis,Auburn,18,2022-11-27,1
44,Miami,St. Francis Brooklyn,349,2022-11-23,2
44,Miami,UCF,70,2022-11-27,2
45,Rutgers,Rider,210,2022-11-22,2
45,Rutgers,Central Connecticut,334,2022-11-26,2
46,UAB,South Florida,202,2022-11-21,1
47,LSU,Wofford,165,2022-11-27,2
47,LSU,Akron,127,2022-11-22,2
48,Utah State,Oral Roberts,104,2022-11-22,1
49,Oklahoma,Nebraska,111,2022-11-24,1
50,TCU,California,201,2022-11-25,1
51,Ole Miss,Stanford,60,2022-11-24,1
52,Missouri,Coastal Carolina,186,2022-11-23,2
52,Missouri,Houston Christian,335,2022-11-26,2
53,Iowa State,Villanova,32,2022-11-24,1
54,Texas A&M,DePaul,84,2022-11-25,1
55,Colorado,Yale,139,2022-11-27,1
56,Syracuse,Bryant,177,2022-11-26,2
56,Syracuse,Richmond,90,2022-11-21,2
57,Arizona State,Grambling,311,2022-11-22,2
57,Arizona State,Alcorn State,263,2022-11-27,2
58,Northwestern,Liberty,99,2022-11-22,1
59,BYU,USC,62,2022-11-23,1
60,Stanford,Ole Miss,51,2022-11-24,1
62,USC,BYU,59,2022-11-23,1
63,Cincinnati,Arizona,11,2022-11-21,1
64,Tulane,Nevada,100,2022-11-21,1
65,Notre Dame,Bowling Green,270,2022-11-22,2
65,Notre Dame,St. Bonaventure,132,2022-11-25,2
66,Kansas State,Rhode Island,173,2022-11-21,1
67,Marquette,Chicago State,358,2022-11-26,2
67,Marquette,Mississippi State,27,2022-11-21,2
68,Providence,Columbia,347,2022-11-26,2
68,Providence,Merrimack,319,2022-11-23,2
69,NC State,Kansas,10,2022-11-23,1
70,UCF,Miami,44,2022-11-27,2
70,UCF,Evansville,322,2022-11-23,2
71,Drake,Louisiana,142,2022-11-26,2
71,Drake,Tarleton,162,2022-11-21,2
72,Clemson,Iowa,15,2022-11-25,2
72,Clemson,Loyola Maryland,227,2022-11-21,2
74,Boise State,Utah Valley,146,2022-11-26,1
75,Utah,St. Thomas - Minnesota,217,2022-11-26,2
75,Utah,Georgia Tech,110,2022-11-21,2
76,Florida Atlantic,Albany,303,2022-11-26,1
78,Vanderbilt,Saint Mary's,20,2022-11-23,1
79,Wake Forest,Hampton,339,2022-11-26,2
79,Wake Forest,South Carolina State,348,2022-11-23,2
81,James Madison,South Dakota State,134,2022-11-26,2
81,James Madison,Valparaiso,254,2022-11-27,2
82,Iona,Santa Clara,102,2022-11-26,1
83,Towson,Coppin State,294,2022-11-22,4
83,Towson,South Alabama,191,2022-11-26,4
83,Towson,Mercer,170,2022-11-27,4
83,Towson,Fairfield,236,2022-11-25,4
84,DePaul,Texas A&M,54,2022-11-25,1
85,Colorado State,Mississippi Valley State,361,2022-11-26,1
86,Butler,Tennessee,7,2022-11-23,1
87,Kent State,Charleston,128,2022-11-23,2
87,Kent State,Houston,2,2022-11-26,2
88,Wyoming,Boston College,114,2022-11-21,1
89,Temple,St. John's,33,2022-11-21,2
89,Temple,Drexel,199,2022-11-27,2
90,Richmond,Syracuse,56,2022-11-21,1
91,San Francisco,Wichita State,92,2022-11-22,2
91,San Francisco,Davidson,121,2022-11-25,2
92,Wichita State,San Francisco,91,2022-11-22,2
92,Wichita State,Tarleton,162,2022-11-26,2
93,VCU,Kennesaw State,218,2022-11-26,1
94,Southern Illinois,UNLV,98,2022-11-22,1
95,Western Kentucky,Illinois State,256,2022-11-22,2
95,Western Kentucky,South Carolina State,348,2022-11-26,2
96,Grand Canyon,Pepperdine,154,2022-11-26,2
96,Grand Canyon,Northern Iowa,141,2022-11-22,2
97,Colgate,Pennsylvania,185,2022-11-26,4
97,Colgate,Hartford,353,2022-11-27,4
97,Colgate,Delaware,190,2022-11-25,4
97,Colgate,Monmouth,283,2022-11-21,4
98,UNLV,Southern Illinois,94,2022-11-22,1
99,Liberty,Northwestern,58,2022-11-22,2
99,Liberty,Delaware State,362,2022-11-26,2
100,Nevada,Tulane,64,2022-11-21,1
101,Missouri State,UNC Wilmington,219,2022-11-25,1
102,Santa Clara,Iona,82,2022-11-26,1
103,UC Santa Barbara,North Alabama,324,2022-11-23,2
103,UC Santa Barbara,Hampton,339,2022-11-21,2
104,Oral Roberts,Utah State,48,2022-11-22,1
105,Florida State,Siena,248,2022-11-24,2
105,Florida State,Mercer,170,2022-11-21,2
106,UNC Greensboro,Hofstra,131,2022-11-26,4
106,UNC Greensboro,UMBC,305,2022-11-22,4
106,UNC Greensboro,Stephen F. Austin,156,2022-11-27,4
106,UNC Greensboro,Montana State,164,2022-11-25,4
107,Georgia,East Tennessee State,229,2022-11-27,2
107,Georgia,Saint Joseph's,175,2022-11-21,2
108,Murray State,Chattanooga,158,2022-11-26,1
109,Duquesne,North Florida,228,2022-11-21,2
109,Duquesne,Alabama State,350,2022-11-23,2
110,Georgia Tech,North Alabama,324,2022-11-26,2
110,Georgia Tech,Utah,75,2022-11-21,2
111,Nebraska,Oklahoma,49,2022-11-24,1
112,New Mexico,Jacksonville State,234,2022-11-25,3
112,New Mexico,North Dakota State,230,2022-11-26,3
112,New Mexico,Northern Colorado,231,2022-11-27,3
113,UC Irvine,Nicholls,241,2022-11-25,1
114,Boston College,Rhode Island,173,2022-11-27,2
114,Boston College,Wyoming,88,2022-11-21,2
115,George Mason,Queens University,209,2022-11-26,1
116,Indiana State,Kansas City,290,2022-11-22,1
117,Marshall,Morehead State,238,2022-11-26,2
117,Marshall,Chicago State,358,2022-11-21,2
118,Loyola Chicago,Harvard,206,2022-11-25,1
119,Sam Houston,Northern Illinois,295,2022-11-22,1
120,Washington,Fresno State,125,2022-11-23,1
121,Davidson,San Francisco,91,2022-11-25,1
122,Bradley,Auburn,18,2022-11-22,2
122,Bradley,Merrimack,319,2022-11-26,2
123,Louisville,Arkansas,14,2022-11-21,1
124,Abilene Christian,Weber State,253,2022-11-22,4
124,Abilene Christian,UC Riverside,205,2022-11-23,4
124,Abilene Christian,Wright State,193,2022-11-21,4
124,Abilene Christian,Northern Arizona,223,2022-11-27,4
125,Fresno State,Washington,120,2022-11-23,1
126,Pittsburgh,William & Mary,327,2022-11-25,2
126,Pittsburgh,Fairleigh Dickinson,346,2022-11-22,2
127,Akron,LSU,47,2022-11-22,1
128,Charleston,Kent State,87,2022-11-23,1
129,Georgetown,UMBC,305,2022-11-26,2
129,Georgetown,American University,302,2022-11-23,2
130,Middle Tennessee,Montana State,164,2022-11-27,3
130,Middle Tennessee,Hofstra,131,2022-11-25,3
130,Middle Tennessee,Stephen F. Austin,156,2022-11-26,3
131,Hofstra,Quinnipiac,200,2022-11-27,3
131,Hofstra,Middle Tennessee,130,2022-11-25,3
131,Hofstra,UNC Greensboro,106,2022-11-26,3
132,St. Bonaventure,Southern Indiana,198,2022-11-22,2
132,St. Bonaventure,Notre Dame,65,2022-11-25,2
133,Vermont,Yale,139,2022-11-22,2
133,Vermont,Ball State,216,2022-11-25,2
134,South Dakota State,Valparaiso,254,2022-11-25,2
134,South Dakota State,James Madison,81,2022-11-26,2
136,Portland,North Carolina,16,2022-11-24,1
137,Loyola Marymount,Morgan State,285,2022-11-23,2
137,Loyola Marymount,Bellarmine,220,2022-11-25,2
138,Princeton,Army,307,2022-11-24,1
139,Yale,Vermont,133,2022-11-22,2
139,Yale,Colorado,55,2022-11-27,2
141,Northern Iowa,Grand Canyon,96,2022-11-22,2
141,Northern Iowa,Northern Illinois,295,2022-11-26,2
